Aaj Ka Anand,Hindi,6
Aaj Tak,Hindi,1
Absolute India,Hindi,3
Absolute India,English,3
Afternoon,English,3
Agrovan,Marathi,3
Apalam Mahanagar,Marathi,3
Assignments abroad Times,English,8
Business Line,English,6
Business Standard,English,6
Daily Thanthi,Tamil,4
Dakshin Mumbai,Hindi,3
Dinakaran,Tamil,4
Divya Bhaskar,Gujarati,5
DNA,English,3
Eenadu,Telugu,5
Employment & NRI Times,English,5
Employment News,English,12
Free Press Journal,English,2
Gujarat Samachar,Gujarati,6
Gujarmat,Gujarati,4
Hamara Mahanagar,Hindi,4
Hindmata,Hindi,2
Hindustan Times,English,4
Inquilaab,Urdu,6
Jagruk Times,Hindi,5
Janashakti,Marathi,3
Janmabhoomi,Gujarati,4
Kala Kaumudi,Malayalam,2
Karnataka Malla,Kannada,5
Lokmat,Marathi,4
Loksatta,Marathi,4
Maharashtra Times,Marathi,4
Mahasagar,Marathi,3
Manorama,Malayalam,6.5
Mathrubhumi,Malayalam,6.5
Mid Day,Gujarati,6
Mid Day,English,4
Mint,English,6
Mumbai Choufer,Marathi,3
Mumbai Lakshadeep,Marathi,3
Mumbai Mirror,English,3
Mumbai Mitra,Marathi,2
Mumbai Samachar,Gujarati,6
Mumbai Urdu News,Urdu,5
Murasu,Tamil,2
Nav Bharat,Hindi,4
Nava Kal,Marathi,4
Navbharat Times,Hindi,4
Navshakti,Marathi,3
Nepal Darpan,Nepali,5
Nepali News,Nepali,5
Police Times,Marathi,10
Prahaar,Marathi,4
Pratah Kal,Hindi,5
Pratyaksha,Marathi,3
Pudhari,Marathi,4
Punya Nagari,Marathi,4
Ratnagiri Times,Marathi,3
Roznama Rashtriya Sahara,Urdu,4
Saamna,Marathi,4
Saamna,Hindi,2
Sakal,Marathi,4
Sandesh,Gujarati,5
Sandhyakal,Marathi,3
Sandhyanand,Marathi,6
Shahar Mumbai,Marathi,3
Tarun Bharat,Marathi,4
The Asian Age,English,3
The Economic Times,English,3
The Hindu,English,8
The Indian Express,English,4
The Sahafat Daily,Urdu,3
The Times Of India,English,7
Udayavani,Kannada,5
Urdu Times Daily,Urdu,6
Vartahar,Marathi,3
Vritta Manas,Marathi,3
Vritta Mitra,Marathi,3
Yasho Bhoomi,Hindi,4
